4,,,
upgradeLV,statIndex,0_money,0_value
int,int,int,int
0,0,0,0
0,0,50,50
1,0,60,53
2,0,70,56
3,0,80,59
4,0,90,62
5,0,100,65
6,0,111,68
7,0,122,72
8,0,133,75
9,0,145,78
10,0,157,81
11,0,169,84
12,0,182,87
13,0,195,90
14,0,209,93
15,0,224,96
16,0,240,99
17,0,256,102
18,0,273,105
19,0,290,108
20,0,308,111
21,0,327,114
22,0,346,117
23,0,366,120
24,0,387,123
25,0,408,126
26,0,430,129
27,0,452,132
28,0,475,135
29,0,499,138
30,0,523,141
31,0,548,144
32,0,574,147
33,0,600,150
34,0,627,153
35,0,655,156
36,0,686,159
37,0,717,162
38,0,751,165
39,0,785,168
40,0,822,171
41,0,859,174
42,0,899,177
43,0,939,180
44,0,984,183
45,0,1030,186
46,0,1076,189
47,0,1126,192
48,0,1184,195
49,0,1242,198
50,0,1309,201
51,0,1376,204
52,0,1454,207
53,0,1532,210
54,0,1618,213
55,0,1704,216
56,0,1800,219
57,0,1896,222
58,0,2003,225
59,0,2111,228
60,0,2231,231
61,0,2361,234
62,0,2502,237
63,0,2654,240
64,0,2818,243
65,0,2995,246
66,0,3185,249
67,0,3400,252
68,0,3630,255
69,0,3877,258
70,0,4147,261
71,0,4447,264
72,0,4792,267
73,0,5182,270
74,0,5617,273
75,0,6097,276
76,0,6632,279
77,0,7222,282
78,0,7900,285
79,0,8676,288
80,0,9534,291
81,0,10434,294
82,0,11434,297
83,0,12434,300
84,0,13434,303
85,0,14434,306
86,0,15434,309
87,0,16434,312
88,0,17434,315
89,0,18434,318
90,0,19434,321
91,0,20434,324
92,0,21434,327
93,0,22434,330
94,0,23434,333
95,0,24434,336
96,0,25434,339
97,0,26434,342
98,0,27434,345
99,0,28434,348
100,0,29434,351
101,0,30434,354
102,0,31434,357
103,0,32434,360
104,0,33434,363
105,0,34434,366
106,0,35434,369
107,0,36434,372
108,0,37434,375
109,0,38434,378
110,0,39434,381
111,0,40434,384
112,0,41434,387
113,0,42434,390
114,0,43434,393
115,0,44434,396
116,0,45434,399
117,0,46434,402
118,0,47434,405
119,0,48434,408
120,0,49434,411
121,0,50434,414
122,0,51434,417
123,0,52434,420
124,0,53434,423
125,0,54434,426
126,0,55434,429
127,0,56434,432
128,0,57434,435
129,0,58434,438
130,0,59434,441
131,0,60434,444
132,0,61434,447
133,0,62434,450
134,0,63434,453
135,0,64434,456
136,0,65434,459
137,0,66434,462
138,0,67434,465
139,0,68434,468
140,0,69434,471
141,0,70434,474
142,0,71434,477
143,0,72434,480
144,0,73434,483
145,0,74434,486
146,0,75434,489
147,0,76434,492
148,0,77434,495
149,0,78434,498
150,0,79434,501
151,0,80434,504
152,0,81434,507
153,0,82434,510
154,0,83434,513
155,0,84434,516
156,0,85434,519
157,0,86434,522
158,0,87434,525
159,0,88434,528
160,0,89434,531
161,0,90434,534
162,0,91434,537
163,0,92434,540
164,0,93434,543
165,0,94434,546
166,0,95434,549
167,0,96434,552
168,0,97434,555
169,0,98434,558
170,0,99434,561
171,0,100434,564
172,0,101434,567
173,0,102434,570
174,0,103434,573
175,0,104434,576
176,0,105434,579
177,0,106434,582
178,0,107434,585
179,0,108434,588
180,0,109434,591
181,0,110434,594
182,0,111434,597
183,0,112434,600
184,0,113434,603
185,0,114434,606
186,0,115434,609
187,0,116434,612
188,0,117434,615
189,0,118434,618
190,0,119434,621
191,0,120434,624
192,0,121434,627
193,0,122434,630
194,0,123434,633
195,0,124434,636
196,0,125434,639
197,0,126434,642
198,0,999999,645
