4,,,
upgradeLV,statIndex,2_money,2_value
int,int,int,int
0,2,0,0
0,2,150,1
1,2,390,2
2,2,780,3
3,2,1260,4
4,2,1820,5
5,2,2430,6
6,2,3090,7
7,2,3800,8
8,2,4560,9
9,2,5350,10
10,2,6170,11
11,2,7030,12
12,2,7930,13
13,2,8850,14
14,2,9800,15
15,2,10780,16
16,2,11790,17
17,2,12820,18
18,2,13870,19
19,2,14950,20
20,2,16050,21
21,2,17180,22
22,2,18330,23
23,2,19490,24
24,2,20680,25
25,2,21890,26
26,2,23120,27
27,2,24360,28
28,2,25630,29
29,2,26910,30
30,2,28210,31
31,2,29530,32
32,2,30880,33
33,2,32250,34
34,2,33630,35
35,2,35040,36
36,2,36470,37
37,2,37920,38
38,2,39380,39
39,2,40870,40
40,2,42370,41
41,2,43890,42
42,2,45430,43
43,2,47000,44
44,2,48590,45
45,2,50190,46
46,2,51820,47
47,2,53470,48
48,2,55140,49
49,2,56820,50
50,2,58530,51
51,2,60250,52
52,2,61990,53
53,2,63750,54
54,2,65540,55
55,2,67350,56
56,2,69170,57
57,2,71020,58
58,2,72890,59
59,2,74780,60
60,2,76680,61
61,2,78610,62
62,2,80550,63
63,2,82510,64
64,2,84490,65
65,2,86500,66
66,2,88530,67
67,2,90570,68
68,2,92640,69
69,2,94730,70
70,2,96840,71
71,2,98960,72
72,2,101110,73
73,2,103270,74
74,2,105450,75
75,2,107650,76
76,2,109880,77
77,2,112130,78
78,2,114390,79
79,2,116680,80
80,2,118990,81
81,2,121320,82
82,2,123660,83
83,2,126030,84
84,2,128410,85
85,2,130810,86
86,2,133230,87
87,2,135680,88
88,2,138150,89
89,2,140630,90
90,2,143140,91
91,2,145670,92
92,2,148220,93
93,2,150780,94
94,2,153370,95
95,2,155970,96
96,2,158590,97
97,2,161230,98
98,2,163900,99
99,2,166590,100
100,2,169290,101
101,2,172020,102
102,2,174770,103
103,2,177540,104
104,2,180320,105
105,2,183130,106
106,2,185950,107
107,2,188790,108
108,2,191650,109
109,2,194540,110
110,2,197450,111
111,2,200370,112
112,2,203320,113
113,2,206290,114
114,2,209280,115
115,2,212280,116
116,2,215310,117
117,2,218350,118
118,2,221410,119
119,2,224490,120
120,2,227600,121
121,2,230730,122
122,2,233870,123
123,2,237040,124
124,2,240230,125
125,2,243440,126
126,2,246660,127
127,2,249910,128
128,2,253170,129
129,2,256450,130
130,2,259750,131
131,2,263080,132
132,2,266430,133
133,2,269790,134
134,2,273180,135
135,2,276590,136
136,2,280020,137
137,2,283460,138
138,2,286930,139
139,2,290410,140
140,2,293910,141
141,2,297430,142
142,2,300980,143
143,2,304550,144
144,2,308130,145
145,2,311740,146
146,2,315370,147
147,2,319020,148
148,2,322680,149
149,2,326370,150
150,2,330070,151
151,2,333790,152
152,2,337530,153
153,2,341300,154
154,2,345090,155
155,2,348890,156
156,2,352720,157
157,2,356570,158
158,2,360440,159
159,2,364320,160
160,2,368230,161
161,2,372150,162
162,2,376090,163
163,2,380050,164
164,2,384040,165
165,2,388050,166
166,2,392070,167
167,2,396120,168
168,2,400190,169
169,2,404280,170
170,2,408380,171
171,2,412510,172
172,2,416650,173
173,2,420810,174
174,2,424990,175
175,2,429200,176
176,2,433430,177
177,2,437670,178
178,2,441940,179
179,2,446230,180
180,2,450540,181
181,2,454860,182
182,2,459210,183
183,2,463570,184
184,2,467950,185
185,2,472350,186
186,2,476780,187
187,2,481230,188
188,2,485690,189
189,2,490180,190
190,2,494690,191
191,2,499220,192
192,2,503760,193
193,2,508330,194
194,2,512910,195
195,2,517510,196
196,2,522130,197
197,2,526780,198
198,2,531450,199
199,2,536130,200
200,2,540840,201
201,2,545570,202
202,2,550320,203
203,2,555080,204
204,2,559870,205
205,2,564670,206
206,2,569490,207
207,2,574330,208
208,2,579200,209
209,2,584090,210
210,2,588990,211
211,2,593920,212
212,2,598870,213
213,2,603840,214
214,2,608820,215
215,2,613830,216
216,2,618850,217
217,2,623890,218
218,2,628950,219
219,2,634040,220
220,2,639150,221
221,2,644270,222
222,2,649420,223
223,2,654590,224
224,2,659780,225
225,2,664980,226
226,2,670210,227
227,2,675450,228
228,2,680710,229
229,2,685990,230
230,2,691300,231
231,2,696630,232
232,2,701970,233
233,2,707340,234
234,2,712730,235
235,2,718140,236
236,2,723560,237
237,2,729010,238
238,2,734470,239
239,2,739950,240
240,2,745450,241
241,2,750980,242
242,2,756530,243
243,2,762090,244
244,2,767680,245
245,2,773290,246
246,2,778920,247
247,2,784560,248
248,2,790230,249
249,2,795910,250
250,2,801610,251
251,2,807330,252
252,2,813080,253
253,2,818850,254
254,2,824630,255
255,2,830440,256
256,2,836270,257
257,2,842120,258
258,2,847980,259
259,2,853870,260
260,2,859770,261
261,2,865690,262
262,2,871630,263
263,2,877600,264
264,2,883590,265
265,2,889590,266
266,2,895620,267
267,2,901670,268
268,2,907740,269
269,2,913820,270
270,2,919930,271
271,2,926050,272
272,2,932190,273
273,2,938350,274
274,2,944540,275
275,2,950750,276
276,2,956970,277
277,2,963220,278
278,2,969490,279
279,2,975780,280
280,2,982080,281
281,2,988410,282
282,2,994750,283
283,2,1001110,284
284,2,1007490,285
285,2,1013900,286
286,2,1020330,287
287,2,1026770,288
288,2,1033240,289
289,2,1039730,290
290,2,1046240,291
291,2,1052760,292
292,2,1059310,293
293,2,1065870,294
294,2,1072450,295
295,2,1079050,296
296,2,1085680,297
297,2,1092330,298
298,2,1098990,299
299,2,1105680,300
300,2,9999999,301
