4,,,
upgradeLV,statIndex,3_money,3_value
int,int,int,int
0,3,0,0
0,3,200,5
1,3,300,5.15
2,3,420,5.3
3,3,560,5.45
4,3,700,5.6
5,3,860,5.75
6,3,1150,5.9
7,3,1300,6.05
8,3,1560,6.2
9,3,1870,6.35
10,3,2100,6.5
11,3,2370,6.65
12,3,2700,6.8
13,3,3000,6.95
14,3,3340,7.1
15,3,3620,7.25
16,3,3980,7.4
17,3,4620,7.55
18,3,5000,7.7
19,3,5680,7.85
20,3,6100,8
21,3,6810,8.15
22,3,7420,8.3
23,3,8000,8.45
24,3,8870,8.6
25,3,9240,8.75
26,3,9500,8.9
27,3,10530,9.05
28,3,11000,9.2
29,3,11870,9.35
30,3,12000,9.5
31,3,13250,9.65
32,3,13600,9.8
33,3,13950,9.95
34,3,14680,10.1
