4,,,
upgradeLV,statIndex,5_money,5_value
int,int,int,int
0,5,0,0
0,5,80,0
1,5,280,25
2,5,600,50
3,5,1010,75
4,5,1470,100
5,5,1980,125
6,5,2530,150
7,5,3120,175
8,5,3750,200
9,5,4410,225
10,5,5100,250
11,5,5820,275
12,5,6560,300
13,5,7330,325
14,5,8120,350
15,5,8940,375
16,5,9780,400
17,5,10630,425
18,5,11510,450
19,5,12410,475
20,5,13330,500
21,5,14270,525
22,5,15230,550
23,5,16210,575
24,5,17220,600
25,5,18250,625
26,5,19310,650
27,5,20390,675
28,5,21480,700
29,5,22600,725
30,5,23740,750
31,5,24900,775
32,5,26080,800
33,5,27280,825
34,5,28500,850
35,5,29750,875
36,5,31020,900
37,5,32320,925
38,5,33640,950
39,5,34970,975
40,5,36330,1000
41,5,37710,1025
42,5,39110,1050
43,5,40530,1075
44,5,41970,1100
45,5,43430,1125
46,5,44920,1150
47,5,46430,1175
48,5,47970,1200
49,5,49530,1225
50,5,51100,1250
51,5,52700,1275
52,5,54320,1300
53,5,55960,1325
54,5,57620,1350
55,5,59300,1375
56,5,61000,1400
57,5,62730,1425
58,5,64480,1450
59,5,66260,1475
60,5,68060,1500
61,5,69870,1525
62,5,71710,1550
63,5,73570,1575
64,5,75450,1600
65,5,77350,1625
66,5,79270,1650
67,5,81210,1675
68,5,83180,1700
69,5,85170,1725
70,5,87190,1750
71,5,89230,1775
72,5,91280,1800
73,5,93360,1825
74,5,95460,1850
75,5,97580,1875
76,5,99720,1900
77,5,101880,1925
78,5,104060,1950
79,5,106270,1975
80,5,108500,2000
81,5,110760,2025
82,5,113040,2050
83,5,115330,2075
84,5,117650,2100
85,5,119990,2125
86,5,122350,2150
87,5,124730,2175
88,5,127130,2200
89,5,129550,2225
90,5,132000,2250
91,5,134470,2275
92,5,136970,2300
93,5,139490,2325
94,5,142020,2350
95,5,144580,2375
96,5,147160,2400
97,5,149760,2425
98,5,152380,2450
99,5,155020,2475
100,5,157680,2500
101,5,160370,2525
102,5,163080,2550
103,5,165820,2575
104,5,168580,2600
105,5,171350,2625
106,5,174150,2650
107,5,176970,2675
108,5,179810,2700
109,5,182670,2725
110,5,185550,2750
111,5,188450,2775
112,5,191380,2800
113,5,194330,2825
114,5,197310,2850
115,5,200310,2875
116,5,203320,2900
117,5,206360,2925
118,5,209420,2950
119,5,212500,2975
120,5,215600,3000
121,5,218720,3025
122,5,221860,3050
123,5,225030,3075
124,5,228220,3100
125,5,231440,3125
126,5,234680,3150
127,5,237930,3175
128,5,241210,3200
129,5,244510,3225
130,5,247830,3250
131,5,251170,3275
132,5,254530,3300
133,5,257910,3325
134,5,261320,3350
135,5,264750,3375
136,5,268210,3400
137,5,271690,3425
138,5,275180,3450
139,5,278700,3475
140,5,282240,3500
141,5,285800,3525
142,5,289380,3550
143,5,292980,3575
144,5,296600,3600
145,5,300250,3625
146,5,303920,3650
147,5,307620,3675
148,5,311340,3700
149,5,315070,3725
150,5,318830,3750
151,5,322610,3775
152,5,326410,3800
153,5,330230,3825
154,5,334070,3850
155,5,337930,3875
156,5,341820,3900
157,5,345730,3925
158,5,349670,3950
159,5,353630,3975
160,5,357600,4000
161,5,361600,4025
162,5,365620,4050
163,5,369660,4075
164,5,373720,4100
165,5,377800,4125
166,5,381900,4150
167,5,386030,4175
168,5,390180,4200
169,5,394350,4225
170,5,398540,4250
171,5,402750,4275
172,5,406980,4300
173,5,411240,4325
174,5,415520,4350
175,5,419830,4375
176,5,424160,4400
177,5,428500,4425
178,5,432870,4450
179,5,437260,4475
180,5,441670,4500
181,5,446100,4525
182,5,450550,4550
183,5,455020,4575
184,5,459520,4600
185,5,464040,4625
186,5,468590,4650
187,5,473160,4675
188,5,477740,4700
189,5,482350,4725
190,5,486980,4750
191,5,491630,4775
192,5,496300,4800
193,5,500990,4825
194,5,505700,4850
195,5,510440,4875
196,5,515200,4900
197,5,519990,4925
198,5,524800,4950
199,5,529620,4975
200,5,534470,5000
201,5,539340,5025
202,5,544230,5050
203,5,549140,5075
204,5,554070,5100
205,5,559020,5125
206,5,564000,5150
207,5,569000,5175
208,5,574030,5200
209,5,579080,5225
210,5,584140,5250
211,5,589230,5275
212,5,594340,5300
213,5,599470,5325
214,5,604620,5350
215,5,609790,5375
216,5,614980,5400
217,5,620200,5425
218,5,625440,5450
219,5,630710,5475
220,5,636000,5500
221,5,641300,5525
222,5,646630,5550
223,5,651980,5575
224,5,657350,5600
225,5,662740,5625
226,5,668150,5650
227,5,673580,5675
228,5,679040,5700
229,5,684520,5725
230,5,690030,5750
231,5,695560,5775
232,5,701100,5800
233,5,706670,5825
234,5,712260,5850
235,5,717870,5875
236,5,723500,5900
237,5,729150,5925
238,5,734820,5950
239,5,740520,5975
240,5,746240,6000
241,5,751990,6025
242,5,757760,6050
243,5,763540,6075
244,5,769350,6100
245,5,775180,6125
246,5,781030,6150
247,5,786900,6175
248,5,792790,6200
249,5,798700,6225
250,5,804640,6250
251,5,810600,6275
252,5,816580,6300
253,5,822580,6325
254,5,828600,6350
255,5,834640,6375
256,5,840710,6400
257,5,846800,6425
258,5,852920,6450
259,5,859060,6475
260,5,865210,6500
261,5,871390,6525
262,5,877590,6550
263,5,883810,6575
264,5,890050,6600
265,5,896310,6625
266,5,902590,6650
267,5,908900,6675
268,5,915230,6700
269,5,921590,6725
270,5,927970,6750
271,5,934360,6775
272,5,940780,6800
273,5,947220,6825
274,5,953680,6850
275,5,960160,6875
276,5,966660,6900
277,5,973180,6925
278,5,979730,6950
279,5,986300,6975
280,5,992900,7000
281,5,999520,7025
282,5,1006150,7050
283,5,1012810,7075
284,5,1019490,7100
285,5,1026190,7125
286,5,1032910,7150
287,5,1039650,7175
288,5,1046410,7200
289,5,1053200,7225
290,5,1060010,7250
